release,update,category,books,onboarding,device,product,maker,description,color,colorcode,price,price_old,price_old_period,splitprice1,splitprice2,url,topbuttontext,topbuttonnote,bssbtn,bssbtntext,urlbssbtn,bssbtnnote,ichibabtn,ichibabtntext,urlichiba,ichibabtnnote,additionaltext,additionallinktext,additionallink,legalline,thumbnail,rselect,featurelist,feature1,feature2,feature3,feature4,feature5,rich,featureimg,img1,title1,text1,img2,title2,text2,img3,title3,text3,img4,text4,img5,text5,img6,text6,img7,text7,img8,text8,img9,text9,img10,text10,spec,item1,value1,item2,value2,item3,value3,item4,value4,item5,value5,item6,value6,item7,value7,item8,value8,item9,value9,item10,value10,comment,manufacturer,contact,support1,support2,link,link2,eol,other
2019/10/1,,ケース,https://books.rakuten.co.jp/rb/16234646/,,arrows RX,arrows RX 手帳型ケース ,,,マゼンタ,#c45768,3580 ,,,,,rselect-rmfjarwsrxc0027pk,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=,※現在my 楽天モバイルでの販売は行っておりません。,,楽天ブックスで購入する,https://books.rakuten.co.jp/rb/16234646/,※送料無料,,,,,5 ,TRUE,,,,,,,FALSE,3 ,pht-accessory-00.png,女性に嬉しいおしゃれな手帳型ケース,アクセントのV字パーツが、女性らしい高級感を演出させます。,pht-accessory-04.png,カードが収納できるポケット付き,名刺等を入れる事が出来るカードポケット×2、サイドポケット×1が付いています。,pht-accessory-03.png,便利なスタンド機能付き,背面を折り曲げることで、動画視聴に便利なスタンド機能として使用が可能です。,,,,,,,,,,,,,,,5 ,製品名,arrows RX 手帳型ケース ,色,マゼンタ,材質,ポリカーボネイト/PUレザー,型番,RMFJARWSRXC0027PK,JANコード,4589740198841 ,,,,,,,,,,,"★本製品の取り付け、取り外しはお客様の責任において行ってください。
★本製品は製品本体への傷や汚れを完全に防ぐものではありません。
★本製品装着時において、全ての機能・動作を保証するものではありません。
★装着する前に製品本体や本製品についているほこりや油分・水分、ごみなどをよく拭き取ってから使用してください。製品本体への傷の原因となります。
★NFC サービスをご利用になる際に、リーダー／ライターによっては、データを正常に読み込めない場合があります。
★本製品を装着することにより、サイドセンス機能の感度が落ちる場合があります。その際は本製品を外してご利用ください。
★お客様のご使用状況・環境などにより、変色する場合があります。
★本製品に汚れなどがついた場合は、柔らかい生地で軽く拭き取ってください。
★皮膚に異常を感じたときはすぐに使用を止め、専門医にご相談ください。
★本製品を装着したまま写真撮影が可能ですが、撮影環境によっては、影や反射光の映り込みが発生する場合があります。そのような場合は本製品を取りはずしてご使用ください。
★製品本体の破損や故障、データの損失、消滅などについては一切の責任を負いかねますので、あらかじめご了承ください。
★商品およびパッケージは予告なく変更になることがあります。
★「arrows」は、富士通株式会社の商標または商標登録です。","株式会社トレミール
東京都港区赤坂4-2-19赤坂SHASTA・EAST5F","TEL: 03-5114-1357（10：00～17：00の月曜日～金曜日）
※祝祭日、夏期、年末年始特定休業日を除く",arrows RX[https://network.mobile.rakuten.co.jp/product/smartphone/arrows-rx/],,,,2021/7/30,
2019/10/1,,ケース,https://books.rakuten.co.jp/rb/16234647/,,arrows RX,arrows RX 手帳型ケース ,,,ブラウン×ピンク,#382d22,3580 ,,,,,rselect-rmfjarwsrxc0026br,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=,※現在my 楽天モバイルでの販売は行っておりません。,,楽天ブックスで購入する,https://books.rakuten.co.jp/rb/16234647/,※送料無料,,,,,5 ,TRUE,,,,,,,FALSE,3 ,pht-accessory-00.png,女性に嬉しいおしゃれな手帳型ケース,アクセントのV字パーツが、女性らしい高級感を演出させます。,pht-accessory-04.png,カードが収納できるポケット付き,名刺等を入れる事が出来るカードポケット×2、サイドポケット×1が付いています。,pht-accessory-03.png,便利なスタンド機能付き,背面を折り曲げることで、動画視聴に便利なスタンド機能として使用が可能です。,,,,,,,,,,,,,,,5 ,製品名,arrows RX 手帳型ケース ,色,ブラウン×ピンク,材質,ポリカーボネイト/PUレザー,型番,RMFJARWSRXC0026BR,JANコード,"4589740198834
",,,,,,,,,,,"★本製品の取り付け、取り外しはお客様の責任において行ってください。
★本製品は製品本体への傷や汚れを完全に防ぐものではありません。
★本製品装着時において、全ての機能・動作を保証するものではありません。
★装着する前に製品本体や本製品についているほこりや油分・水分、ごみなどをよく拭き取ってから使用してください。製品本体への傷の原因となります。
★NFC サービスをご利用になる際に、リーダー／ライターによっては、データを正常に読み込めない場合があります。
★本製品を装着することにより、サイドセンス機能の感度が落ちる場合があります。その際は本製品を外してご利用ください。
★お客様のご使用状況・環境などにより、変色する場合があります。
★本製品に汚れなどがついた場合は、柔らかい生地で軽く拭き取ってください。
★皮膚に異常を感じたときはすぐに使用を止め、専門医にご相談ください。
★本製品を装着したまま写真撮影が可能ですが、撮影環境によっては、影や反射光の映り込みが発生する場合があります。そのような場合は本製品を取りはずしてご使用ください。
★製品本体の破損や故障、データの損失、消滅などについては一切の責任を負いかねますので、あらかじめご了承ください。
★商品およびパッケージは予告なく変更になることがあります。
★「arrows」は、富士通株式会社の商標または商標登録です。","株式会社トレミール
東京都港区赤坂4-2-19赤坂SHASTA・EAST5F","TEL: 03-5114-1357（10：00～17：00の月曜日～金曜日）
※祝祭日、夏期、年末年始特定休業日を除く",arrows RX[https://network.mobile.rakuten.co.jp/product/smartphone/arrows-rx/],,,,2021/7/30,
2019/10/1,,ケース,arrows RX 手帳型ケース,,arrows RX,arrows RX 手帳型ケース,,,ブラック×ブラウン/ネイビー×ダークネイビー,#222222/#242743,2970 ,,,,,rselect-rmfjarwsrxc0024bk,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=,※現在my 楽天モバイルでの販売は行っておりません。,,楽天ブックスで購入する,https://books.rakuten.co.jp/search?sitem=arrows%20RX%20%E6%89%8B%E5%B8%B3%E5%9E%8B%E3%82%B1%E3%83%BC%E3%82%B9&,※送料無料,,,,,10 ,TRUE,,,,,,,FALSE,3 ,pht-accessory-02.png,使いやすいマグネット付き手帳型ケース,しっかりとフラップを固定できるマグネットフラップを使用しております。,pht-accessory-04.png,カードが収納できるポケット付き,名刺等を入れる事が出来るカードポケット×2、サイドポケット×1が付いています。,pht-accessory-03.png,便利なスタンド機能付き,背面を折り曲げることで、動画視聴に便利なスタンド機能として使用が可能です。,,,,,,,,,,,,,,,5 ,製品名,arrows RX 手帳型ケース,色,ブラック×ブラウン/ネイビー×ダークネイビー,材質,ポリカーボネイト/PUレザー,型番,RMFJARWSRXC0024BK/RMFJARWSRXC0025NV,JANコード,4589740198810/4589740198827,,,,,,,,,,,"★本製品の取り付け、取り外しはお客様の責任において行ってください。
★本製品は製品本体への傷や汚れを完全に防ぐものではありません。
★本製品装着時において、全ての機能・動作を保証するものではありません。
★装着する前に製品本体や本製品についているほこりや油分・水分、ごみなどをよく拭き取ってから使用してください。製品本体への傷の原因となります。
★NFC サービスをご利用になる際に、リーダー／ライターによっては、データを正常に読み込めない場合があります。
★本製品を装着することにより、サイドセンス機能の感度が落ちる場合があります。その際は本製品を外してご利用ください。
★お客様のご使用状況・環境などにより、変色する場合があります。
★本製品に汚れなどがついた場合は、柔らかい生地で軽く拭き取ってください。
★皮膚に異常を感じたときはすぐに使用を止め、専門医にご相談ください。
★本製品を装着したまま写真撮影が可能ですが、撮影環境によっては、影や反射光の映り込みが発生する場合があります。そのような場合は本製品を取りはずしてご使用ください。
★製品本体の破損や故障、データの損失、消滅などについては一切の責任を負いかねますので、あらかじめご了承ください。
★商品およびパッケージは予告なく変更になることがあります。
★「arrows」は、富士通株式会社の商標または商標登録です。","株式会社トレミール
東京都港区赤坂4-2-19赤坂SHASTA・EAST5F","TEL: 03-5114-1357（10：00～17：00の月曜日～金曜日）
※祝祭日、夏期、年末年始特定休業日を除く",arrows RX[https://network.mobile.rakuten.co.jp/product/smartphone/arrows-rx/],,,,2021/7/30,
2019/10/1,,ケース,https://books.rakuten.co.jp/rb/16234643/,,arrows RX,arrows RX ハイブリッドケース,,,クリア,#E8FEFF,1780 ,,,,,rselect-rmfjarwsrxc0023cl,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=,※現在my 楽天モバイルでの販売は行っておりません。,,楽天ブックスで購入する,https://books.rakuten.co.jp/rb/16234643/,※送料無料,,,,,5 ,TRUE,,,,,,,FALSE,3 ,pht-accessory-01.png,透明度の高いクリアケース,ケース背面には透明度の高いポリカーボネート素材を使用しております。,pht-accessory-03.png,本体デザインをそのままに,本体デザインが美しく際立つスタイリッシュなハイブリットケースです。,pht-accessory-04.png,スマートフォンをしっかり保護,側面にはしなやかな弾力性を持つTPU（熱可塑性ポリウレタン）素材を使用しています。,,,,,,,,,,,,,,,5 ,製品名,arrows RX ハイブリッドケース,色,クリア,材質,ポリカーボネイト/熱可塑性ポリウレタン,型番,RMFJARWSRXC0023CL,JANコード,4589740198803 ,,,,,,,,,,,"★本製品の取り付け、取り外しはお客様の責任において行ってください。
★本製品は製品本体への傷や汚れを完全に防ぐものではありません。
★本製品装着時において、全ての機能・動作を保証するものではありません。
★装着する前に製品本体や本製品についているほこりや油分・水分、ごみなどをよく拭き取ってから使用してください。製品本体への傷の原因となります。
★NFC サービスをご利用になる際に、リーダー／ライターによっては、データを正常に読み込めない場合があります。
★本製品を装着することにより、サイドセンス機能の感度が落ちる場合があります。その際は本製品を外してご利用ください。
★お客様のご使用状況・環境などにより、変色する場合があります。
★本製品に汚れなどがついた場合は、柔らかい生地で軽く拭き取ってください。
★皮膚に異常を感じたときはすぐに使用を止め、専門医にご相談ください。
★本製品を装着したまま写真撮影が可能ですが、撮影環境によっては、影や反射光の映り込みが発生する場合があります。そのような場合は本製品を取りはずしてご使用ください。
★製品本体の破損や故障、データの損失、消滅などについては一切の責任を負いかねますので、あらかじめご了承ください。
★商品およびパッケージは予告なく変更になることがあります。
★「arrows」は、富士通株式会社の商標または商標登録です。","株式会社トレミール
東京都港区赤坂4-2-19赤坂SHASTA・EAST5F","TEL: 03-5114-1357（10：00～17：00の月曜日～金曜日）
※祝祭日、夏期、年末年始特定休業日を除く",arrows RX[https://network.mobile.rakuten.co.jp/product/smartphone/arrows-rx/],,,,2021/7/30,
2019/10/1,,ケース,OPPO Reno A 128GB 手帳型ケース,,OPPO Reno A 128GB,OPPO Reno A 128GB 手帳型ケース,,,ブラック/ピーコックブルー,#222222/#7ba7bc,2280 ,,,,,rselect-rmopreno0ac0038bk,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=,※現在my 楽天モバイルでの販売は行っておりません。,,楽天ブックスで購入する,https://books.rakuten.co.jp/search?sitem=OPPO%20Reno%20A%20128GB%20%E6%89%8B%E5%B8%B3%E5%9E%8B%E3%82%B1%E3%83%BC%E3%82%B9&,※送料無料,,,,,11 ,TRUE,3 ,素材はポリウレタン液晶画面側と背面側の両面を保護できる薄型で持ちやすい手帳型ケースです。,内側にはハードケースを採用、スマートフォンをしっかり固定することできます。,フタの内側にカードポケットが1つ付いています。,,,FALSE,3 ,pht-accessory-10.png,スタイリッシュな薄型ブックタイプ,スリムな設計でポケットなどの出し入れもスムーズに、持ち運びも便利です。,pht-accessory-08.png,カードポケット付き,カードを収納できるカードポケットがついており、スマートフォンと一緒ならカードを忘れる心配もありません。,pht-accessory-09.png,フタを閉じたまま通話が可能,フタを閉じたままでも通話が可能です。皮脂や化粧品などがディスプレイに付くことも防ぐことが出来ます。,,,,,,,,,,,,,,,5 ,製品名,OPPO Reno A 128GB 手帳型ケース,色,ブラック/ピーコックブルー,材質,ポリウレタン/ポリカーボネート,型番,RMOPRENO0AC0038BK/RMOPRENO0AC0039BL,JANコード,4988075112490/4988075112506,,,,,,,,,,,"★本製品はスマートフォンの機種別専用のケースです。表面に記載の機種以外には使用できません。
★本製品は機器本体に付く傷や汚れを完全に防ぐものではありません。
★本製品のカードポケットご使用による、カードなどの挿入物の紛失・破損などは一切保証いたしかねます。
★本製品のパッケージなどに記載されている会社名・製品名などは各社の商標または登録商標です。
★装着の際は、乾いた布等で機器本体の表面のホコリや指紋を取り除き、左側から合わせて本製品に機器本体をはめこんでください。
★取り外しの際は、製品を横向きに持ち、ハードケースの左上と右上の角部分を奥へ滑らすように、製品をケースの内側から引き抜くように外してください。
★機器本体の破損や損傷等については一切責任を負いかねますのでご了承願います。
★万が一、製造上の原因により初期不良品があった場合は同製品または同等の製品と交換をいたします。ご対応の際に購入証明書が必要となる場合がありますので、購入証明書は必ず保管しておいてください。","株式会社ラスタバナナ
愛知県名古屋市中区三の丸1-13-1","TEL: 052-201-1110（10：00～18：00の月曜日～金曜日）
※祝祭日、年末年始特定休業日を除く",OPPO Reno A 128GB[https://network.mobile.rakuten.co.jp/product/smartphone/reno-a/],,,,2021/7/30,
2019/10/1,,ケース,https://books.rakuten.co.jp/rb/16234620/,,OPPO Reno A 128GB,OPPO Reno A 128GB TPUフレームケース,,,メタリックブルー,#0000c8,1980 ,,,,,rselect-rmopreno0ac0040bl,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=,※現在my 楽天モバイルでの販売は行っておりません。,,楽天ブックスで購入する,https://books.rakuten.co.jp/rb/16234620/,※送料無料,,,,,9 ,TRUE,2 ,素材はTPU（熱可塑性ポリウレタン）樹脂でフレームを輝く装飾で彩りました。,ゴムのようなしなやかな弾力性と硬質プラスチックのような強靭さでスマートフォンを守ります。,,,,FALSE,3 ,pht-accessory-06.png,輝く装飾フレーム,メタリックフレームが華やかさと高級感を出し、スタイリッシュに製品を彩ります。,pht-accessory-07.png,空気の層で衝撃を吸収,ケース内側の特殊構造により、空気の層で衝撃を吸収します。,pht-accessory-08.png,ケースを装着したままで充電可能,ケースを取り外さなくても、充電をすることができます。また、ボタンの操作やカメラもケースを装着したまま使用可能です。,,,,,,,,,,,,,,,5 ,製品名,OPPO Reno A 128GB TPUフレームケース,色,メタリックブルー,材質,TPU,型番,RMOPRENO0AC0040BL,JANコード,4988075112513 ,,,,,,,,,,,"★本製品はスマートフォンの機種別専用のケースです。表面に記載の機種以外には使用できません。
★本製品は機器本体に付く傷や汚れを完全に防ぐものではありません。
★本製品のカードポケットご使用による、カードなどの挿入物の紛失・破損などは一切保証いたしかねます。
★本製品のパッケージなどに記載されている会社名・製品名などは各社の商標または登録商標です。
★装着の際は、乾いた布等で機器本体の表面のホコリや指紋を取り除き、左側から合わせて本製品に機器本体をはめこんでください。
★取り外しの際は、製品を横向きに持ち、ハードケースの左上と右上の角部分を奥へ滑らすように、製品をケースの内側から引き抜くように外してください。
★機器本体の破損や損傷等については一切責任を負いかねますのでご了承願います。
★万が一、製造上の原因により初期不良品があった場合は同製品または同等の製品と交換をいたします。ご対応の際に購入証明書が必要となる場合がありますので、購入証明書は必ず保管しておいてください。","株式会社ラスタバナナ
愛知県名古屋市中区三の丸1-13-1","TEL: 052-201-1110（10：00～18：00の月曜日～金曜日）
※祝祭日、年末年始特定休業日を除く",OPPO Reno A 128GB[https://network.mobile.rakuten.co.jp/product/smartphone/reno-a/],,,,2021/7/30,
2019/10/1,,ケース,Galaxy純正 Galaxy A7 WALLET COVER,,Galaxy A7,Galaxy純正 Galaxy A7 WALLET COVER,Galaxy,,ブラック/ブルー/ゴールド,#222222/#2168C8/#C19F8B,3980 ,,,,,samsung-efwa750pbegjp,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=,※現在my 楽天モバイルでの販売は行っておりません。,,楽天ブックスで購入する,https://books.rakuten.co.jp/search?sitem=Galaxy%E7%B4%94%E6%AD%A3%20Galaxy%20A7%20WALLET%20COVER&,※送料無料,,,,,9 ,FALSE,,,,,,,FALSE,3 ,pht-accessory-00.png,スマートフォンをしっかりと保護,"ディスプレイ、背面、側面を外部の衝撃や、小さな傷からもしっかりと保護します。また、握りやすいソフトなグリップ感を実現しました。
",pht-accessory-02.png,カード収納用の便利なポケット付き,"カバーの内側にカードポケットがあるので、よく使用するカードを携帯できます。
",pht-accessory-01.png,カバーの開閉に連動し、画面の自動オン／オフ機能付,"カバーの開閉により、ディスプレイが自動でオン／オフになります。
",,,,,,,,,,,,,,,6 ,製品名,Galaxy A7 WALLET COVER,メーカー,Galaxy,色,ブラック/ブルー/ゴールド,材質,PC/PU/マグネット,型番,EF-WA750PBEGJP/EF-WA750PFEGJP/EF-WA750PLEGJP,JANコード,4986773190178/4986773190185/4986773190192,,,,,,,,,"★製品対応機種でのみご利用いただけます。
★本製品は消耗品です。
★初期不良の場合のみ交換可能です。
★使用上の不注意による破損や汚れは保証対象外になります。
★保証適用にはご購入時の領収書が必要になります。",,"Galaxy カスタマーサポートセンター
TEL：0120-363-905
営業日：年中無休
受付時間：9：00～20：00",Galaxy A7[https://network.mobile.rakuten.co.jp/product/smartphone/galaxy-a7/],,,,2021/7/30,
2019/10/1,,ケース,https://books.rakuten.co.jp/rb/16234630/,,Galaxy A7,Galaxy A7 手帳型ケース,,,ベージュ,#b8a59b,3580 ,,,,,rselect-rmsmglxa07c0031bg,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=,※現在my 楽天モバイルでの販売は行っておりません。,,楽天ブックスで購入する,https://books.rakuten.co.jp/rb/16234630/,※送料無料,,,,,5 ,TRUE,,,,,,,FALSE,3 ,pht-accessory-02.png,女性に嬉しいおしゃれな手帳型ケース,大人な要素を取り入れたグレージュンカラーとシボの生地感がマッチした上品なデザインです。,pht-accessory-03.png,カードが収納できるポケット付き,名刺等を入れる事が出来るカードポケット×2、サイドポケット×1が付いています。,pht-accessory-04.png,便利なスタンド機能付き,背面を折り曲げることで、動画視聴に便利なスタンド機能として使用が可能です。,,,,,,,,,,,,,,,5 ,製品名,Galaxy A7 手帳型ケース,色,ベージュ,材質,ポリカーボネイト/PUレザー,型番,RMSMGLXA07C0031BG,JANコード,4589740198865 ,,,,,,,,,,,"★本製品の取り付け、取り外しはお客様の責任において行ってください。
★本製品は製品本体への傷や汚れを完全に防ぐものではありません。
★本製品装着時において、全ての機能・動作を保証するものではありません。
★装着する前に製品本体や本製品についているほこりや油分・水分、ごみなどをよく拭き取ってから使用してください。製品本体への傷の原因となります。
★NFC サービスをご利用になる際に、リーダー／ライターによっては、データを正常に読み込めない場合があります。
★卓上ホルダ（別売）を使用して充電する際は、本製品を機器本体から取り外してください。
★お客様のご使用状況・環境などにより、変色する場合があります。※本製品に汚れなどがついた場合は、柔らかい生地で軽く拭き取ってください。※皮膚に異常を感じたときはすぐに使用を止め、専門医にご相談ください。
★本製品を装着したまま写真撮影が可能ですが、撮影環境によっては、影や反射光の映り込みが発生する場合があります。そのような場合は本製品を取りはずしてご使用ください。
★製品本体の破損や故障、データの損失、消滅などについては一切の責任を負いかねますので、あらかじめご了承ください。
★商品およびパッケージは予告なく変更になることがあります。
★本製品のパッケージに記載されている会社名製品名等は、一般に各社の商標または登録商標です。","株式会社トレミール
東京都港区赤坂4-2-19赤坂SHASTA・EAST5F","TEL: 03-5114-1357（10：00～17：00の月曜日～金曜日）
※祝祭日、夏期、年末年始特定休業日を除く",Galaxy A7[https://network.mobile.rakuten.co.jp/product/smartphone/galaxy-a7/],,,,2021/7/30,
2019/10/1,,ケース,Galaxy A7 手帳型ケース,,Galaxy A7,Galaxy A7 手帳型ケース,,,ブラック/ネイビー,#222222/#1e2040,2970 ,,,,,rselect-rmsmglxa07c0029bk,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=,※現在my 楽天モバイルでの販売は行っておりません。,,楽天ブックスで購入する,https://books.rakuten.co.jp/search?sitem=Galaxy%20A7%20%E6%89%8B%E5%B8%B3%E5%9E%8B%E3%82%B1%E3%83%BC%E3%82%B9&,※送料無料,,,,,14 ,TRUE,1 ,ケースを装着したまま全ての操作が可能,,,,,FALSE,3 ,pht-accessory-12.png,スタンド機能付き,すぐに立てられる動画視聴に便利なスタンド機能付きです。,pht-accessory-04.png,内側にカードポケット付き,ICカードやクレジットカードを2枚収納可能なカードポケットとレシートなどに丁度いい大型サイズのポケットを装備しているので便利にお使いいただけます。,pht-accessory-13.png,上質なデザイン,ビジネスシーンにもマッチする落ち着きのあるデザインと上質な風合いです。,,,,,,,,,,,,,,,5 ,製品名,Galaxy A7 手帳型ケース,色,ブラック/ネイビー,材質,熱可塑性ポリウレタン/ポリカーボネイト,型番,RMSMGLXA07C0029BK/RMSMGLXA07C0030NV,JANコード,4589455005878/4589455005885,,,,,,,,,,,"★本製品は対応機種以外ではご使用出来ません。
★本製品は傷や衝撃から製品本体を完全に保護するものではありません。
★本製品の装着時にはホコリやゴミ等をしっかり取り除いてください。製品本体を傷つける恐れがあります。
★ICカードをカバーに入れたままご使用すると、正しく認識できない恐れがあります。
★キャッシュカードやクレジットカードなどは使用条件により、機器本体からの磁気に影響を受ける可能性があります。
★ご使用頻度や使用環境により、傷がついたり色落ち、変形することがあります。お取り扱いには十分ご注意ください。
★防水加工がされていませんので、雨天時や濡れた手でのご使用は避けてください。本製品が濡れた場合は、布で拭き取り風通しの良い所で陰干ししてください。高温で乾かすことは避けてください。
★素材特有のにおいがする場合があります。
★小さなお子様の手の届かないところに保管してください。
★本製品を使用しての事故や故障に関しては当社では一切の責任を負いかねます。
★本製品は改良のために予告なく仕様が変更になる場合があります。
★本製品のパッケージに記載されている会社名製品名等は、一般に各社の商標または登録商標です。",CCCフロンティア株式会社,TEL: 03-6455-0681（10：00～17：00の月曜日～金曜日）,Galaxy A7[https://network.mobile.rakuten.co.jp/product/smartphone/galaxy-a7/],,,,2021/7/30,
2019/10/1,,ケース,https://books.rakuten.co.jp/rb/16234627/,,Galaxy A7,Galaxy A7 TPUフレームケース,,,メタリックブルー,#0000c8,1980 ,,,,,rselect-rmsmglxa07c0032bl,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=,※現在my 楽天モバイルでの販売は行っておりません。,,楽天ブックスで購入する,https://books.rakuten.co.jp/rb/16234627/,※送料無料,,,,,8 ,TRUE,2 ,素材はTPU（熱可塑性ポリウレタン）樹脂でフレームを輝く装飾で彩りました。,ゴムのようなしなやかな弾力性と硬質プラスチックのような強靭さでスマートフォンを守ります。,,,,FALSE,3 ,pht-accessory-05.png,輝く装飾フレーム,メタリックフレームが華やかさと高級感を出し、スタイリッシュに製品を彩ります。,pht-accessory-06.png,空気の層で衝撃を吸収,ケース内側の特殊構造により、空気の層で衝撃を吸収します。,pht-accessory-07.png,ケースを装着したままで充電可能,ケースを取り外さなくても、充電をすることができます。また、ボタンの操作やカメラもケースを装着したまま使用可能です。,,,,,,,,,,,,,,,5 ,製品名,Galaxy A7 TPUフレームケース,色,メタリックブルー,材質,TPU,型番,RMSMGLXA07C0032BL,JANコード,4988075112483 ,,,,,,,,,,,"★本製品はスマートフォンの機種別専用のケースです。表面に記載の機種以外には使用できません。
★本製品は機器本体に付く傷や汚れを完全に防ぐものではありません。
★本製品のカードポケットご使用による、カードなどの挿入物の紛失・破損などは一切保証いたしかねます。
★本製品のパッケージなどに記載されている会社名製品名などは各社の商標または登録商標です。
★装着の際は、乾いた布等で機器本体の表面のホコリや指紋を取り除き、サイドボタン側から合わせて本製品に機器本体をはめこんでください。
★機器本体の破損や損傷等については一切責任を負いかねますのでご了承願います。
★万が一、製造上の原因により初期不良品があった場合は同製品または同等の製品と交換をいたします。ご対応の際に購入証明書が必要となる場合がありますので、購入証明書は必ず保管しておいてください。","株式会社ラスタバナナ
愛知県名古屋市中区三の丸1-13-1","TEL: 052-201-1110（10：00～18：00の月曜日～金曜日）
※祝祭日、年末年始特定休業日を除く",Galaxy A7[https://network.mobile.rakuten.co.jp/product/smartphone/galaxy-a7/],,,,2021/7/30,
