release,update,category,books,onboarding,device,product,maker,description,color,colorcode,price,price_old,price_old_period,splitprice1,splitprice2,url,topbuttontext,topbuttonnote,bssbtn,bssbtntext,urlbssbtn,bssbtnnote,ichibabtn,ichibabtntext,urlichiba,ichibabtnnote,additionaltext,additionallinktext,additionallink,legalline,thumbnail,rselect,featurelist,feature1,feature2,feature3,feature4,feature5,rich,featureimg,img1,title1,text1,img2,title2,text2,img3,title3,text3,img4,text4,img5,text5,img6,text6,img7,text7,img8,text8,img9,text9,img10,text10,spec,item1,value1,item2,value2,item3,value3,item4,value4,item5,value5,item6,value6,item7,value7,item8,value8,item9,value9,item10,value10,comment,manufacturer,contact,support1,support2,link,link2,eol,other
2019/10/1,,フィルム,arrows RX 全面ガラスフィルム 高光沢,,arrows RX,arrows RX 全面ガラスフィルム 高光沢,,,ホワイト/ブラック,#ffffff/#222222,2970 ,,,,,rselect-rmfjarwsrxf0016wh,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=,※現在my 楽天モバイルでの販売は行っておりません。,,楽天ブックスで購入する,https://books.rakuten.co.jp/search?sitem=arrows%20RX%20%E5%85%A8%E9%9D%A2%E3%82%AC%E3%83%A9%E3%82%B9%E3%83%95%E3%82%A3%E3%83%AB%E3%83%A0%20%E9%AB%98%E5%85%89%E6%B2%A2&,※送料無料,,,,,3 ,TRUE,4 ,"全面カバー
液晶画面の全体を守ります。","3D立体ガラス
ガラスの縁に立体加工を施し、スマートフォンの曲面までカバーします。","高光沢
高光沢仕様で液晶画面を色鮮やかに再現します。","防汚加工
汚れがつきにくく、付着してもとれやすい加工を施しました。",,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,6 ,製品名,arrows RX 全面ガラスフィルム 高光沢,色,ホワイト/ブラック,材質,ガラス,セット内容,全面ガラスフィルム/クリーナークロス/ホコリ取りシール/貼り付けガイド/取扱説明書,型番,RMFJARWSRXF0016WH/RMFJARWSRXF0017BK,JANコード,4519756643011/4519756643028,,,,,,,,,"★イラストはイメージです。実際のパッケージのフィルム画像はすべてブラックで印字されています。パッケージに記載しているカラー名称は実物のカラーと一致しております。
★本製品は液晶画面を完全に保護するものではありません。
★液晶画面およびスマートフォン本体の破損や損傷などについては保証の対象外です。
★本製品の貼り付けは、お客様の責任において行ってください。
★本製品のパッケージなどに記載されている会社名・製品名などは各社の商標または登録商標です。","株式会社パワーサポート
〒150-0013
東京都渋谷区恵比寿3-7-17","TEL：03-3441-3442（9時〜18時※土日祝日・年末年始を除く）
E-mail：info@pawasapo.co.jp",arrows RX[https://network.mobile.rakuten.co.jp/product/smartphone/arrows-rx/],,,https://www.pawasapo.co.jp/rakuten/,2021/7/30,
2019/10/1,,フィルム,https://books.rakuten.co.jp/rb/16234640/,,arrows RX,arrows RX 平面ガラスフィルム 反射防止,,,クリア,#E8FEFF,1580 ,,,,,rselect-rmfjarwsrxf0003,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=,※現在my 楽天モバイルでの販売は行っておりません。,,楽天ブックスで購入する,https://books.rakuten.co.jp/rb/16234640/,※送料無料,,,,,2 ,TRUE,3 ,"表面硬度 9H
表面硬度9H（実力値）の強化ガラスを採用し、割れにくく、安心です。","反射防止
画面のチラつきを抑えるAG（アンチグレア）加工により、光の映り込みを防ぎ、目に優しく見やすい画面を保ちます。","指紋防止
フィルム表面の指紋防止加工により、指紋が付きにくく残った場合でも簡単に拭き取れます。タッチ操作をしても指紋が目立ちにくくなっています。",,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,6 ,製品名,arrows RX 平面ガラスフィルム 反射防止,色,クリア,材質,接合面：シリコン、外側：ガラス、PET,セット内容,平面ガラスフィルム/クリーナークロス/ホコリ取りシール/貼り付けガイド,型番,RMFJARWSRXF0003,JANコード,4549550150804 ,,,,,,,,,"★端が湾曲しているため、液晶画面よりも小さい仕様になります。
★本製品の特性上、液晶画面に貼付した状態でタッチペン操作を行うと動作しにくい場合がありますのでご了承ください。
★本製品をご使用の際はケースなどの種類により装着できない場合があります。
★本体の液晶画面の個体差により、フィルムの端が浮く可能性があります。ご了承ください。
★本製品は機器本体の画面を保護するフィルムです。他の用途ではご使用できません。
★本製品は機器本体を完全に保護するものではありません。液晶画面を含む機器本体の破損や損傷等については保証の対象外です。
★イラストおよび画像はイメージです。実際の商品とは異なる場合がありますので、あらかじめご了承ください。
★本製品のパッケージなどに記載されている会社名・製品名などは各社の商標または登録商標です。",エレコム株式会社,"エレコム総合インフォメーションセンター
TEL：0570-084-465 
FAX：0570-050-012
受付時間 10：00～19：00 年中無休",arrows RX[https://network.mobile.rakuten.co.jp/product/smartphone/arrows-rx/],,,,2021/7/30,
2019/10/1,,フィルム,https://books.rakuten.co.jp/rb/16234619/,,OPPO Reno A 128GB,OPPO Reno A 128GB 全面ガラスフィルム 高光沢 ドラゴントレイルX,,,ブラック,#222222,3480 ,,,,,rselect-rmopreno0af0013bk,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=,※現在my 楽天モバイルでの販売は行っておりません。,,楽天ブックスで購入する,https://books.rakuten.co.jp/rb/16234619/,※送料無料,,,,,2 ,TRUE,2 ,"全画面保護フルガラス
液晶パネル全てを覆う形状の保護ガラスです。一般的なガラスに比べて8倍の強度があり、世界最高レベルのDragontrail Xを使用しています。","高光沢
高い透明感で液晶の色彩を忠実に再現します。クリアで歪みの少ない高品質ガラスを採用しています。",,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,6 ,製品名,OPPO Reno A 128GB 全画面ガラスフィルム 高光沢ドラゴントレイル ,色,ブラック,材質,ガラス,セット内容,製品本体/クリーナークロス/ホコリ取りシール/貼り付けツール/貼り付けガイド,型番,RMOPRENO0AF0013BK,JANコード,4988075112469 ,,,,,,,,,"★本製品はガラス製品のため、折り曲げたり、落下などの外部からの衝撃により本製品に割れや傷が生じる場合がありますが、本製品の特性上、保証いたしかねますのでご了承ください。
★本製品は機器本体を完全に保護するものではありません。液晶画面を含むおよび機器本体の破損や損傷等については一切の責任を負いかねますのでご了承願います。
★Dragontrailは旭硝子株式会社の登録商標です。
★本製品は、ディスプレイのラウンド部分まで保護する形状です。ディスプレイのラウンド部分まで覆う保護ケースと併用した場合、干渉し本製品の剥がれ・浮きの原因となる場合があります。
★万が一、製造上の原因により初期不良品があった場合は同製品または同等の製品と交換をいたします。ご対応の際に購入証明書が必要となる場合がありますので、購入証明書は必ず保管しておいてください","株式会社ラスタバナナ
愛知県名古屋市中区三の丸1-13-1","TEL： 052-201-1110（10：00～18：00の月曜日～金曜日）
※祝祭日、年末年始特定休業日を除く",OPPO Reno A 128GB[https://network.mobile.rakuten.co.jp/product/smartphone/reno-a/],,,http://www.rastabanana.com/download/rakuten/reno_a.pdf,2021/7/30,
2019/10/1,,フィルム,https://books.rakuten.co.jp/rb/16234618/,,OPPO Reno A 128GB,OPPO Reno A 128GB 全面ガラスフィルム 反射防止 ソフトフレーム,,,ブラック,#222222,2380 ,,,,,rselect-rmopreno0af0012bk,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=,※現在my 楽天モバイルでの販売は行っておりません。,,楽天ブックスで購入する,https://books.rakuten.co.jp/rb/16234618/,※送料無料,,,,,2 ,TRUE,2 ,"全画面保護ハイブリッドガラス
液晶パネル全てを覆う形状の保護ガラスです。液晶保護ガラスを高い柔軟性のPETフレームで囲み、角割れすることを防止します。","反射防止
指滑りがよく、太陽光や蛍光灯等の反射を防止するアンチグレア加工が施されています。",,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,6 ,製品名,OPPO Reno A 128GB 全画面ガラスフィルム 反射防止 ソフトフレーム,色,ブラック,材質,ガラス,セット内容,製品本体/クリーナークロス/ホコリ取りシール/貼り付けツール/貼り付けガイド,型番,RMOPRENO0AF0012BK,JANコード,4988075112452 ,,,,,,,,,"★本製品はガラス製品のため、折り曲げたり、落下などの外部からの衝撃により本製品に割れや傷が生じる場合がありますが、本製品の特性上、保証いたしかねますのでご了承ください。
★本製品は機器本体を完全に保護するものではありません。液晶画面を含むおよび機器本体の破損や損傷等については一切の責任を負いかねますのでご了承願います。
★本製品は、ディスプレイのラウンド部分まで保護する形状です。ディスプレイのラウンド部分まで覆う保護ケースと併用した場合、干渉し本製品の剥がれ・浮きの原因となる場合があります。
★万が一、製造上の原因により初期不良品があった場合は同製品または同等の製品と交換をいたします。ご対応の際に購入証明書が必要となる場合がありますので、購入証明書は必ず保管しておいてください。","株式会社ラスタバナナ
愛知県名古屋市中区三の丸1-13-1","TEL： 052-201-1110（10：00～18：00の月曜日～金曜日）
※祝祭日、年末年始特定休業日を除く",OPPO Reno A 128GB[https://network.mobile.rakuten.co.jp/product/smartphone/reno-a/],,,http://www.rastabanana.com/download/rakuten/reno_a.pdf,2021/7/30,
2019/10/1,,フィルム,https://books.rakuten.co.jp/rb/16234617/,,OPPO Reno A 128GB,OPPO Reno A 128GB 平面ガラスフィルム 高光沢,,,クリア,#E8FEFF,1980 ,,,,,rselect-rmopreno0af0011cl,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=,※現在my 楽天モバイルでの販売は行っておりません。,,楽天ブックスで購入する,https://books.rakuten.co.jp/rb/16234617/,※送料無料,,,,,2 ,TRUE,2 ,"平面ガラス
液晶パネルの平面部のみを覆う形状の保護ガラスです。ケースと干渉することがありません。","高光沢
高い透明感で液晶の色彩を忠実に再現します。クリアで歪みの少ない高品質ガラスを採用しています。",,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,6 ,製品名,OPPO Reno A 128GB 平面ガラスフィルム 高光沢,色,クリア,材質,ガラス,セット内容,製品本体/クリーナークロス/ホコリ取りシール/貼り付けツール/貼り付けガイド,型番,RMOPRENO0AF0011CL,JANコード,4988075112445 ,,,,,,,,,"★端が湾曲しているため、液晶画面よりも小さい仕様になります。
★本製品はガラス製品のため、折り曲げたり、落下などの外部からの衝撃により本製品に割れや傷が生じる場合がありますが、本製品の特性上、保証いたしかねますのでご了承ください。
★本製品は機器本体を完全に保護するものではありません。液晶画面を含むおよび機器本体の破損や損傷等については一切の責任を負いかねますのでご了承願います。
★本製品のパッケージなどに記載されている会社名・製品名などは各社の商標または登録商標です。
★万が一、製造上の原因により初期不良品があった場合は同製品または同等の製品と交換をいたします。ご対応の際に購入証明書が必要となる場合がありますので、購入証明書は必ず保管しておいてください。","株式会社ラスタバナナ
愛知県名古屋市中区三の丸1-13-1","TEL： 052-201-1110（10：00～18：00の月曜日～金曜日）
※祝祭日、年末年始特定休業日を除く",OPPO Reno A 128GB[https://network.mobile.rakuten.co.jp/product/smartphone/reno-a/],,,,2021/7/30,
2019/10/1,,フィルム,https://books.rakuten.co.jp/rb/16234625/,,Galaxy A7,Galaxy A7 全面ガラスフィルム 高光沢 ドラゴントレイルX,,,ブラック,#222222,3480 ,,,,,rselect-rmsmglxa07f006bk,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=,※現在my 楽天モバイルでの販売は行っておりません。,,楽天ブックスで購入する,https://books.rakuten.co.jp/rb/16234625/,※送料無料,,,,,2 ,TRUE,2 ,"全画面保護フルガラス
液晶パネル全てを覆う形状の保護ガラスです。一般的なガラスに比べて8倍の強度があり、世界最高レベルのDragontrail Xを使用しています。","高光沢
高い透明感で液晶の色彩を忠実に再現します。クリアで歪みの少ない高品質ガラスを採用しています。",,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,6 ,製品目,Galaxy A7 全画面ガラスフィルム 高光沢ドラゴントレイルX ,色,ブラック,材質,ガラス,セット内容,製品本体/クリーナークロス/ホコリ取りシール/貼り付けツール/貼り付けガイド,型番,RMSMGLXA07F0006BK,JANコード,4988075112391 ,,,,,,,,,"★本製品はガラス製品のため、折り曲げたり、落下などの外部からの衝撃により本製品に割れや傷が生じる場合がありますが、本製品の特性上、保証いたしかねますのでご了承ください。
★本製品は機器本体を完全に保護するものではありません。液晶画面を含むおよび機器本体の破損や損傷等については一切の責任を負いかねますのでご了承願います。
★Dragontrailは旭硝子株式会社の登録商標です。
★本製品は、ディスプレイのラウンド部分まで保護する形状です。ディスプレイのラウンド部分まで覆う保護ケースと併用した場合、干渉し本製品の剥がれ・浮きの原因となる場合がございます。
★万が一、製造上の原因により初期不良品があった場合は同製品または同等の製品と交換をいたします。ご対応の際に購入証明書が必要となる場合がありますので、購入証明書は必ず保管しておいてください。","株式会社ラスタバナナ
愛知県名古屋市中区三の丸1-13-1
","TEL： 052-201-1110（10：00～18：00の月曜日～金曜日）
※祝祭日、年末年始特定休業日を除く",Galaxy A7[https://network.mobile.rakuten.co.jp/product/smartphone/galaxy-a7/],,,http://www.rastabanana.com/download/rakuten/galaxy_a7.pdf,2021/7/30,
2019/10/1,,フィルム,https://books.rakuten.co.jp/rb/16234624/,,Galaxy A7,Galaxy A7 全面ガラスフィルム 反射防止 ソフトフレーム,,,ブラック,#222222,2380 ,,,,,rselect-rmsmglxa07f005bk,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=,※現在my 楽天モバイルでの販売は行っておりません。,,楽天ブックスで購入する,https://books.rakuten.co.jp/rb/16234624/,※送料無料,,,,,2 ,TRUE,2 ,"全画面保護ハイブリッドガラス
液晶パネル全てを覆う形状の保護ガラスです。液晶保護ガラスを高い柔軟性のPETフレームで囲み、角割れすることを防止します。","反射防止
指滑りがよく、太陽光や蛍光灯等の反射を防止するアンチグレア加工が施されています。",,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,6 ,製品名,Galaxy A7 全画面ガラスフィルム 反射防止ソフトフレーム,色,ブラック,材質,ガラス,セット内容,製品本体/クリーナークロス/ホコリ取りシール/貼り付けツール/貼り付けガイド,型番,RMSMGLXA07F0005BK,JANコード,4988075112384 ,,,,,,,,,"★本製品はガラス製品のため、折り曲げたり、落下などの外部からの衝撃により本製品に割れや傷が生じる場合がありますが、本製品の特性上、保証いたしかねますのでご了承ください。
★本製品は機器本体を完全に保護するものではありません。液晶画面を含むおよび機器本体の破損や損傷等については一切の責任を負いかねますのでご了承願います。
★本製品のパッケージなどに記載されている会社名・製品名などは各社の商標または登録商標です。
★本製品は、ディスプレイのラウンド部分まで保護する形状です。ディスプレイのラウンド部分まで覆う保護ケースと併用した場合、干渉し本製品の剥がれ・浮きの原因となる場合がございます。
★万が一、製造上の原因により初期不良品があった場合は同製品または同等の製品と交換をいたします。ご対応の際に購入証明書が必要となる場合がありますので、購入証明書は必ず保管しておいてください。","株式会社ラスタバナナ
愛知県名古屋市中区三の丸1-13-1","TEL： 052-201-1110（10：00～18：00の月曜日～金曜日）
※祝祭日、年末年始特定休業日を除く",Galaxy A7[https://network.mobile.rakuten.co.jp/product/smartphone/galaxy-a7/],,,http://www.rastabanana.com/download/rakuten/galaxy_a7.pdf,2021/7/30,
2019/10/1,,フィルム,https://books.rakuten.co.jp/rb/16234623/,,Galaxy A7,Galaxy A7 平面ガラスフィルム 高光沢,,,クリア,#E8FEFF,1980 ,,,,,rselect-rmsmglxa07f0004cl,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=,※現在my 楽天モバイルでの販売は行っておりません。,,楽天ブックスで購入する,https://books.rakuten.co.jp/rb/16234623/,※送料無料,,,,,2 ,TRUE,2 ,"平面ガラス
液晶パネルの平面部のみを覆う形状の保護ガラスです。ケースと干渉することがありません。","高光沢
高い透明感で液晶の色彩を忠実に再現します。クリアで歪みの少ない高品質ガラスを採用しています。",,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,6 ,製品名,Galaxy A7 平面ガラス 高光沢,色,クリア,材質,ガラス,セット内容,製品本体/クリーナークロス/ホコリ取りシール/貼り付けツール/貼り付けガイド,型番,RMSMGLXA07F0004CL,JANコード,4988075112377 ,,,,,,,,,"★端が湾曲しているため、液晶画面よりも小さい仕様になります。
★本製品はガラス製品のため、折り曲げたり、落下などの外部からの衝撃により本製品に割れや傷が生じる場合がありますが、本製品の特性上、保証いたしかねますのでご了承ください。
★本製品は機器本体を完全に保護するものではありません。液晶画面を含むおよび機器本体の破損や損傷等については一切の責任を負いかねますのでご了承願います。
★本製品のパッケージなどに記載されている会社名・製品名などは各社の商標または登録商標です。
★万が一、製造上の原因により初期不良品があった場合は同製品または同等の製品と交換をいたします。ご対応の際に購入証明書が必要となる場合がありますので、購入証明書は必ず保管しておいてください。
","株式会社ラスタバナナ
愛知県名古屋市中区三の丸1-13-1","TEL： 052-201-1110（10：00～18：00の月曜日～金曜日）
※祝祭日、年末年始特定休業日を除く",Galaxy A7[https://network.mobile.rakuten.co.jp/product/smartphone/galaxy-a7/],,,,2021/7/30,
2019/10/1,,フィルム,,,Xperia Ace,Xperia Ace 全面ガラスフィルム 高光沢 ドラゴントレイルX,,,ホワイト/ブラック/パープル,#ffffff/#222222/#c7c5e6,3480 ,,,,,rselect-rmsoxpracef0009wh,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=,※現在my 楽天モバイルでの販売は行っておりません。,none,,,※送料無料,,,,,4 ,TRUE,2 ,"全画面保護フルガラス
液晶パネル全てを覆う形状の保護ガラスです。一般的なガラスに比べて8倍の強度があり、世界最高レベルのDragontrail Xを使用しています。","高光沢
高い透明感で液晶の色彩を忠実に再現します。クリアで歪みの少ない高品質ガラスを採用しています。",,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,6 ,製品名,Xperia Ace 全面ガラスフィルム 高光沢ドラゴントレイルX,色,ホワイト/ブラック/パープル,材質,ガラス,セット内容,製品本体/クリーナークロス/ホコリ取りシール/貼り付けツール/貼り付けガイド,型番,RMSOXPRACEF0009WH/RMSOXPRACEF0010BK/RMSOXPRACEF0008PU,JANコード,4988075112421/4988075112414/4988075112438,,,,,,,,,"★イラストはイメージです。実際のパッケージのフィルム画像はすべてブラックで印字されています。パッケージに記載しているカラー名称は実物のカラーと一致しております。
★本製品はガラス製品のため、折り曲げたり、落下などの外部からの衝撃により本製品に割れや傷が生じる場合がありますが、本製品の特性上、保証いたしかねますのでご了承ください。
★本製品は機器本体を完全に保護するものではありません。液晶画面を含むおよび機器本体の破損や損傷等については一切の責任を負いかねますのでご了承願います。
★Dragontrailは旭硝子株式会社の登録商標です。
★本製品は、ディスプレイのラウンド部分まで保護する形状です。ディスプレイのラウンド部分まで覆う保護ケースと併用した場合、干渉し本製品の剥がれ・浮きの原因となる場合がございます。
★万が一、製造上の原因により初期不良品があった場合は同製品または同等の製品と交換をいたします。ご対応の際に購入証明書が必要となる場合がありますので、購入証明書は必ず保管しておいてください。","株式会社ラスタバナナ
愛知県名古屋市中区三の丸1-13-1","TEL： 052-201-1110（10：00～18：00の月曜日～金曜日）
※祝祭日、年末年始特定休業日を除く",Xperia Ace[https://network.mobile.rakuten.co.jp/product/smartphone/xperia-ace/],,,http://www.rastabanana.com/download/rakuten/xperia_ace.pdf,2021/12/14,
2019/10/1,,フィルム,,,Xperia Ace,Xperia Ace 平面ガラスフィルム 反射防止,,,クリア,#E8FEFF,1980 ,,,,,rselect-rmsoxpracef0007cl,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=,※現在my 楽天モバイルでの販売は行っておりません。,none,,,※送料無料,,,,,2 ,TRUE,2 ,"平面ガラス
液晶パネルの平面部のみを覆う形状の保護ガラスです。ケースと干渉することがありません。","反射防止
指滑りがよく、太陽光や蛍光灯等の反射を防止するアンチグレア加工が施されています。",,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,6 ,製品名,Xperia Ace 平面ガラスフィルム 反射防止,色,クリア,材質,ガラス,セット内容,製品本体/クリーナークロス/ホコリ取りシール/貼り付けツール/貼り付けガイド,型番,RMSOXPRACEF0007CL,JANコード,4988075112407 ,,,,,,,,,"★端が湾曲しているため、液晶画面よりも小さい仕様になります。
★本製品はガラス製品のため、折り曲げたり、落下などの外部からの衝撃により本製品に割れや傷が生じる場合がありますが、本製品の特性上、保証いたしかねますのでご了承ください。
★本製品は機器本体を完全に保護するものではありません。液晶画面を含むおよび機器本体の破損や損傷等については一切の責任を負いかねますのでご了承願います。
★本製品のパッケージなどに記載されている会社名・製品名などは各社の商標または登録商標です。
★万が一、製造上の原因により初期不良品があった場合は同製品または同等の製品と交換をいたします。ご対応の際に購入証明書が必要となる場合がありますので、購入証明書は必ず保管しておいてください。
","株式会社ラスタバナナ
愛知県名古屋市中区三の丸1-13-1","TEL： 052-201-1110（10：00～18：00の月曜日～金曜日）
※祝祭日、年末年始特定休業日を除く",Xperia Ace[https://network.mobile.rakuten.co.jp/product/smartphone/xperia-ace/],,,,2021/12/14,
