release,update,category,books,onboarding,device,product,maker,description,color,colorcode,price,price_old,price_old_period,splitprice1,splitprice2,url,topbuttontext,topbuttonnote,bssbtn,bssbtntext,urlbssbtn,bssbtnnote,ichibabtn,ichibabtntext,urlichiba,ichibabtnnote,additionaltext,additionallinktext,additionallink,legalline,thumbnail,rselect,featurelist,feature1,feature2,feature3,feature4,feature5,rich,featureimg,img1,title1,text1,img2,title2,text2,img3,title3,text3,img4,text4,img5,text5,img6,text6,img7,text7,img8,text8,img9,text9,img10,text10,spec,item1,value1,item2,value2,item3,value3,item4,value4,item5,value5,item6,value6,item7,value7,item8,value8,item9,value9,item10,value10,comment,manufacturer,contact,support1,support2,link,link2,eol
2021/6/4,,フィルム,,555068,"iPhone SE（第3世代）
iPhone SE（第2世代）",iPhone SE（第3世代）/（第2世代） ガラスフィルム「GLASS PREMIUM FILM」スタンダードサイズ 超透明,,,クリア,#E8FEFF,1298 ,,,54 ,27 ,mss-lpi9fg,,,,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=555068,※my 楽天モバイルからのご購入は、製品と同時購入の場合のみ送料無料となります。,,,https://item.rakuten.co.jp/rakutenmobile-store/mss-lpi9fg/,※送料無料,,,,,3 ,FALSE,4 ,全て透明のスタンダードなガラスフィルムです。一回り小さいサイズながらも、透明ガラスフィルムでは最大の横幅を実現しました。ケース干渉を避け、液晶表示面を邪魔することなく快適な閲覧・操作が可能です。,"高品質な「真空蒸着方式」の指紋防止加工を採用。
指紋防止効果が長期間持続します。","誰でもかんたんに貼り付けられる貼り付けキットProが付属。
詳細は<a href=""https://www.mssjapan.jp/iphone2020ss_kit"" target=""_blank"">ガラスフィルム貼り付けキット 使用方法</a>をご覧ください。",製品に「割れた」「浮いてしまった」といった不具合が発生した場合、ご購入日より「30日以内に1回まで」ガラスフィルム本体の交換が可能です。,　,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,6 ,製品名,iPhone SE（第3世代）/（第2世代） ガラスフィルム「GLASS PREMIUM FILM」スタンダードサイズ 超透明,色,クリア,素材,ガラス,セット内容,ガラスフィルム / クリーナークロス / アルコール洗浄布 / ホコリ除去ラベル / 貼り付けキットPro,型番,LP-I9FG,JANコード,4580508097321 ,,,,,,,,,"★本製品（フィルム）はガラス製品です。製品を曲げたり、落下や衝撃により製品に割れや傷が生じる場合がありますが製品の性質上保証いたしかねます。
★本製品は本体を衝撃や傷から完全に保護することを保証するものではありません。
★本製品を用途以外の目的には使用しないでください。
★本製品を使用しての事故や端末の傷、故障、データの損失などに関しては、当社では一切の責任を負いかねます。
★イラストはイメージです。実際の商品とは異なる場合があります。
★デザイン、仕様などは改良のため予告なく変更する場合があります。
★[硬度10H表記に関して] 10H鉛筆での硬度テストをクリアしていることを表しています。","株式会社MSソリューションズ
〒810-0801
福岡県福岡市博多区中洲5丁目6-24 第6ガーデンビル6F","【製品サポートセンター】TEL: 0120-947-783（9～12時/13～17時/土日祝・夏季休暇・年末年始を除く）
 e-mail:support@mssjapan.jp",iPhone SE（第3世代）[https://network.mobile.rakuten.co.jp/product/iphone/iphone-se-3rd/?l-id=product_accessory_mss-lpi9fg_iphone-se-2nd]/iPhone SE（第2世代）[https://network.mobile.rakuten.co.jp/product/iphone/iphone-se-2nd/?l-id=product_accessory_mss-lpi9fg_iphone-se-2nd],,,,
2021/6/4,,フィルム,,555093,"iPhone SE（第3世代）
iPhone SE（第2世代）",iPhone SE（第3世代）/（第2世代）/8/7/6s/6共用 ガラスパネル【AGC製】 BLC 0.33mm,,,クリア,#E8FEFF,1518 ,,,63 ,31 ,telephonelease-ge2470ip047,,,,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=555093,※my 楽天モバイルからのご購入は、製品と同時購入の場合のみ送料無料となります。,,,https://item.rakuten.co.jp/rakutenmobile-store/telephonelease-ge2470ip047/,※送料無料,,,,,1 ,FALSE,2 ,"平面ガラス
液晶パネルの平面部のみを覆う形状の保護ガラスです。
ケースと干渉することがありません。",ブルーライトをカットし目にかかる負担を軽減します。,　,　,　,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,6 ,製品名,iPhone SE（第3世代）/（第2世代）/8/7/6s/6共用 ガラスパネル【AGC製】 BLC 0.33mm,色,クリア,素材,ガラス,セット内容,保護ガラス / ホコリ取りシール / 液晶クリーナー / 貼り方ガイド,型番,GE2470IP047,JANコード,4988075671423 ,,,,,,,,,"★本製品はガラス製品のため、折り曲げたり、落下させたりなどの外部からの衝撃により本製品に割れや傷が生じる場合がありますが、本製品の特性上、保証いたしかねますのでご了承ください。
★本製品はすべての傷や汚れから保護できることを保証するものではありません。液晶画面を含む機器本体の破損や損傷等については一切の責任を負いかねますのでご了承願います。
★本製品は機種専用タイプの保護ガラスです。表面に記載されている機種以外は使用できません。
★端末に保護シート等が貼られている場合は、剝がしてからご使用ください。
★貼り付け時のミス(ゆがみ、気泡等)やフィルムを剥がす際のディスプレイの破損、損傷等については責任を負いかねますので、十分にご注意いただいた上でご購入、貼り付けをしてください。またフィルムの貼り付けは、お客様の責任においておこなってください。
★ポケットやカバン等から出し入れする際に本製品が剝がれてしまう場合があります。予めご了承ください。
★本製品の使用、または使用不能から生ずる付随的な損害(お使いの機器の変化・消失、利益の損失、それらに伴う諸費用など）に関して、弊社は責任を負いかねますので予めご了承ください。
★直射日光の当たる場所、高音多湿の場所、乳幼児の手の届く場所は避けて保管してください。
★万が一、製造上の原因により初期不良品があった場合は同製品または同等の製品と交換をいたします。ご対応の際に販売店のレシートまたは領収書が必要となる場合がありますので、レシート及び領収書は必ず保管しておいてください。","株式会社ラスタバナナ
〒460-0001 名古屋市中区三の丸1-13-1","TEL:052-201-1110(10~18時/土日祝・夏季休暇・年末年始を除く）
e-mail:info2@rastabanana.com","
iPhone SE（第3世代）[https://network.mobile.rakuten.co.jp/product/iphone/iphone-se-3rd/?l-id=product_accessory_telephonelease-ge2470ip047_iphone-se-3rd]/iPhone SE（第2世代）[https://network.mobile.rakuten.co.jp/product/iphone/iphone-se-2nd/?l-id=product_accessory_telephonelease-ge2470ip047_iphone-se-2nd]",,,,
2021/6/4,,フィルム,,555118,"iPhone 12
iPhone 12 Pro",iPhone 12/iPhone 12 Pro ガラスフィルム「GLASS PREMIUM FILM」 スーパークリア,,,クリア,#E8FEFF,1298 ,,,54 ,27 ,mss-lpim20fg,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=555118,※現在my 楽天モバイルでの販売は行っておりません。,,,https://item.rakuten.co.jp/rakutenmobile-store/mss-lpim20fg/,※送料無料,,,,,3 ,FALSE,3 ,"画面のフチまで保護しながらも、1mmだけ内側にカットしているためケースに干渉しにくい設計です。透明ガラスフィルムでは最大の横幅を実現しました。
ケース干渉を避け、液晶表示面を邪魔することなく快適な閲覧・操作が可能です。","高品質な「真空蒸着方式」の指紋防止加工を採用。
指紋防止効果が長期間持続します。","誰でもかんたんに貼り付けられる貼り付けキットProが付属。
詳細は<a href=""https://www.mssjapan.jp/iphone2020ss_kit"" target=""_blank"">ガラスフィルム貼り付けキット 使用方法</a>をご覧ください。",　,　,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,6 ,製品名,iPhone 12/iPhone 12 Pro ガラスフィルム「GLASS PREMIUM FILM」 スーパークリア,色,クリア,素材,ガラス,セット内容,ガラスフィルム / クリーナークロス / アルコール洗浄布 / ホコリ除去ラベル / 貼り付けキットPro,型番,LP-IM20FG,JANコード,4580508122795 ,,,,,,,,,"★本製品（フィルム）はガラス製品です。製品を曲げたり、落下や衝撃により製品に割れや傷が生じる場合があります。製品の性質上保証いたしかねますのであらかじめご了承ください。
★本製品は本体を衝撃や傷から完全に保護することを保証するものではありません。
★本製品を用途以外の目的には使用しないでください。
★本製品を使用しての事故や端末の傷、故障、データの損失などに関しては、当社では一切の責任を負いかねます。
★本製品は製品仕様上、スマートフォンケースと干渉する場合があります。
★端末に貼り付けたままガラスフィルムが割れてしまった場合は、両端からゆっくりと剥がして破棄してください。
★徹底した品質管理のもと生産しておりますが、万が一初期不良が確認された場合はご購入から一週間以内にご連絡をお願いします。
★イラストはイメージです。実際の商品とは異なる場合があります。
★デザイン、仕様などは改良のため予告なく変更する場合があります。
★[硬度10H表記に関して] 10H鉛筆での硬度テストをクリアしていることを表しています。","株式会社MSソリューションズ
〒810-0801
福岡県福岡市博多区中洲5丁目6-24 第6ガーデンビル6F","【製品サポートセンター】TEL: 0120-947-783（9～12時/13～17時/土日祝・夏季休暇・年末年始を除く）
 e-mail:support@mssjapan.jp",iPhone 12[https://network.mobile.rakuten.co.jp/product/iphone/iphone-12/?l-id=product_accessory_mss-lpim20fg_iphone-12]/iPhone 12 Pro[https://network.mobile.rakuten.co.jp/product/iphone/iphone-12-pro/?l-id=product_accessory_mss-lpim20fg_iphone-12-pro],,,,45002 
2021/6/4,,フィルム,,555143,"iPhone 12
iPhone 12 Pro",iPhone 12/12 Pro ガラスパネル 抗菌 BLC 0.33mm 治具付き,,,クリア,#E8FEFF,1580 ,,,65 ,32 ,telephonelease-ghe2589ip061,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=555143,※現在my 楽天モバイルでの販売は行っておりません。,,,https://item.rakuten.co.jp/rakutenmobile-store/telephonelease-ghe2589ip061/,※送料無料,,,,,1 ,FALSE,3 ,ディスプレイのフチまで覆う全面保護ガラスです。,ブルーライトをカットし目にかかる負担を軽減します。,"ガラスの内部に埋め込まれた銀イオンが最近の付着を抑え、
清潔さを持続します。",　,　,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,6 ,製品名,iPhone 12/12 Pro ガラスパネル 抗菌 BLC 0.33mm 治具付き,色,クリア,素材,ガラス,セット内容,保護ガラス / 液晶クリーナー / ホコリ取りシール / 貼り方ガイド / 位置合わせ補助キット,型番,GHE2589IP061,JANコード,4988075675612 ,,,,,,,,,"★本製品はガラス製品のため、折り曲げたり、落下させたりなどの外部からの衝撃により本製品に割れや傷が生じる場合がありますが、本製品の特性上、保証いたしかねますのでご了承ください。
★本製品はすべての傷や汚れから保護できることを保証するものではありません。液晶画面を含む機器本体の破損や損傷等については一切の責任を負いかねますのでご了承願います。
★本製品は機種専用タイプの保護ガラスです。表面に記載されている機種以外は使用できません。
★端末に保護シート等が貼られている場合は、剝がしてからご使用ください。
★貼り付け時のミス(ゆがみ、気泡等)やフィルムを剥がす際のディスプレイの破損、損傷等については責任を負いかねますので、十分にご注意いただいた上でご購入、貼り付けをしてください。またフィルムの貼り付けは、お客様の責任においておこなってください。
★ポケットやカバン等から出し入れする際に本製品が剝がれてしまう場合があります。予めご了承ください。
★本製品の使用、または使用不能から生ずる付随的な損害(お使いの機器の変化・消失、利益の損失、それらに伴う諸費用など）に関して、弊社は責任を負いかねますので予めご了承ください。
★直射日光の当たる場所、高音多湿の場所、乳幼児の手の届く場所は避けて保管してください。
★万が一、製造上の原因により初期不良品があった場合は同製品または同等の製品と交換をいたします。ご対応の際に販売店のレシートまたは領収書が必要となる場合がありますので、レシート及び領収書は必ず保管しておいてください。","株式会社ラスタバナナ
〒460-0001 名古屋市中区三の丸1-13-1","TEL:052-201-1110(10~18時/土日祝・夏季休暇・年末年始を除く）
e-mail:info2@rastabanana.com",iPhone 12[https://network.mobile.rakuten.co.jp/product/iphone/iphone-12/?l-id=product_accessory_telephonelease-ghe2589ip061_iphone-12]/iPhone 12 Pro[https://network.mobile.rakuten.co.jp/product/iphone/iphone-12-pro/?l-id=product_accessory_telephonelease-ghe2589ip061_iphone-12-pro],,,,45002 
2021/6/4,,フィルム,,555168,"iPhone 12
iPhone 12 Pro",iPhone 12/12 Pro ガラスパネル 反射防止 0.33mm,,,クリア,#E8FEFF,1580 ,,,65 ,32 ,telephonelease-gt2575ip061,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=555168,※現在my 楽天モバイルでの販売は行っておりません。,,,https://item.rakuten.co.jp/rakutenmobile-store/telephonelease-gt2575ip061/,※送料無料,,,,,1 ,FALSE,2 ,ディスプレイのフチまで覆う全面保護ガラスです。,"指滑りがよく、
太陽光や蛍光灯等の反射を防止するアンチグレア加工が施されています。",　,　,　,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,6 ,製品名,iPhone 12/12 Pro ガラスパネル 反射防止 0.33mm,色,クリア,素材,ガラス,セット内容,保護ガラス / 液晶クリーナー / ホコリ取りシール / 貼り方ガイド,型番,GT2575IP061,JANコード,4988075675476 ,,,,,,,,,"★本製品はガラス製品のため、折り曲げたり、落下させたりなどの外部からの衝撃により本製品に割れや傷が生じる場合がありますが、本製品の特性上、保証いたしかねますのでご了承ください。
★本製品はすべての傷や汚れから保護できることを保証するものではありません。液晶画面を含む機器本体の破損や損傷等については一切の責任を負いかねますのでご了承願います。
★本製品は機種専用タイプの保護ガラスです。表面に記載されている機種以外は使用できません。
★端末に保護シート等が貼られている場合は、剝がしてからご使用ください。
★貼り付け時のミス(ゆがみ、気泡等)やフィルムを剥がす際のディスプレイの破損、損傷等については責任を負いかねますので、十分にご注意いただいた上でご購入、貼り付けをしてください。またフィルムの貼り付けは、お客様の責任においておこなってください。
★ポケットやカバン等から出し入れする際に本製品が剝がれてしまう場合があります。予めご了承ください。
★本製品の使用、または使用不能から生ずる付随的な損害(お使いの機器の変化・消失、利益の損失、それらに伴う諸費用など）に関して、弊社は責任を負いかねますので予めご了承ください。
★直射日光の当たる場所、高音多湿の場所、乳幼児の手の届く場所は避けて保管してください。
★万が一、製造上の原因により初期不良品があった場合は同製品または同等の製品と交換をいたします。ご対応の際に販売店のレシートまたは領収書が必要となる場合がありますので、レシート及び領収書は必ず保管しておいてください。","株式会社ラスタバナナ
〒460-0001 名古屋市中区三の丸1-13-1","TEL:052-201-1110(10~18時/土日祝・夏季休暇・年末年始を除く）
e-mail:info2@rastabanana.com",iPhone 12[https://network.mobile.rakuten.co.jp/product/iphone/iphone-12/?l-id=product_accessory_telephonelease-gt2575ip061_iphone-12]/iPhone 12 Pro[https://network.mobile.rakuten.co.jp/product/iphone/iphone-12-pro/?l-id=product_accessory_telephonelease-gt2575ip061_iphone-12-pro],,,,45002 
2021/9/17,,フィルム,,600165,iPhone 13 mini,iPhone 13 mini 平面ガラスフィルム 高光沢,,,クリア,#E8FEFF,1100 ,,,45 ,22 ,rselect-rmapphne21f0163cl,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=600165,※現在my 楽天モバイルでの販売は行っておりません。,none,,https://item.rakuten.co.jp/rakutenmobile-store/rselect-rmapphne21f0163cl/,※送料無料,,,,,2 ,TRUE,4 ,液晶画面の鮮やかさを損なわない高光沢タイプ,クリアで透明度の高い液晶保護ガラスは、写真や動画の色合いを忠実に再現します。,機器本体の画面を保護,表面硬度9H の液晶保護ガラスは衝撃や傷から大切な機器本体をしっかり守ります。,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,6 ,製品名,iPhone 13 mini 平面ガラスフィルム 高光沢,色,クリア,素材,シリコン(接合面)、ガラス、PET(外側),セット内容,保護ガラス / 液晶クリーナー / ホコリ取りシール / 貼り方ガイド / アルコール綿,型番,RMAPPHNE21F0163CL,JANコード,4580692435046 ,,,,,,,,,"★本製品の特性上、液晶画面に貼付した状態でタッチペン操作を行うと動作しにくい場合がありますのでご了承ください。
★本製品をご使用の際はケースなどの種類により装着できない場合があります。
★機器本体の液晶画面の個体差により、フィルムの端が浮く可能性があります。ご了承ください。
★本製品は機器本体の画面を保護するフィルムです。他の用途ではご使用できません。
★本製品は機器本体を完全に保護するものではありません。液晶画面を含む機器本体の破損や損傷等については保証の対象外です。
★万が一、製造上の原因により初期不良品があった場合、同製品または同等の製品と交換をいたします。その際に、購入証明書が必要となる場合がありますので、購入証明書は必ず保管しておいてください。
★本製品のパッケージなどに記載されている会社名、製品名などは各社の商標または登録商標です。
★本製品のパッケージに使用されているイラストおよび画像はイメージです。
★iPhone は、米国および他の国々で登録されたApple Inc. の商標です。iPhoneの商標は、アイホン株式会社のライセンスに基づき使用されています。",株式会社トレミール,"TEL: 03-5114-1357
FAX: 03-5114-1375
e-mail:info@l-mobiledo.net
（平日10：00～17：00）
※祝祭日、夏期、年末年始特定休業日を除く",iPhone 13 mini[https://network.mobile.rakuten.co.jp/product/iphone/iphone-13-mini/?l-id=product_accessory_rselect-rmapphne21f0163cl_iphone-13-mini],,,,45254 
2021/9/17,,フィルム,,600166,iPhone 13 mini,iPhone 13 mini 全面ガラスフィルム 高光沢,,,クリア,#E8FEFF,1500 ,,,62 ,31 ,rselect-rmapphne21f0164cl,,,disable,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=600166,※現在my 楽天モバイルでの販売は行っておりません。,,,https://item.rakuten.co.jp/rakutenmobile-store/rselect-rmapphne21f0164cl/,※送料無料,,,,,2 ,TRUE,4 ,液晶画面の鮮やかさを損なわない高光沢タイプ,クリアで透明度の高い液晶保護ガラスは、写真や動画の色合いを忠実に再現します。,スムーズな操作性,ラウンジエッジ加工のため、操作性にも優れています。,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,6 ,製品名,iPhone 13 mini 全面ガラスフィルム 高光沢,色,クリア,素材,シリコン(接合面)、ガラス、PET(外側),セット内容,保護ガラス / 液晶クリーナー / ホコリ取りシール / 貼り方ガイド / アルコール綿,型番,RMAPPHNE21F0164CL,JANコード,4580692435053 ,,,,,,,,,"★本製品の特性上、液晶画面に貼付した状態でタッチペン操作を行うと動作しにくい場合がありますのでご了承ください。
★本製品をご使用の際はケースなどの種類により装着できない場合があります。
★機器本体の液晶画面の個体差により、フィルムの端が浮く可能性があります。ご了承ください。
★本製品は機器本体の画面を保護するフィルムです。他の用途ではご使用できません。
★本製品は機器本体を完全に保護するものではありません。液晶画面を含む機器本体の破損や損傷等については保証の対象外です。
★万が一、製造上の原因により初期不良品があった場合、同製品または同等の製品と交換をいたします。その際に、購入証明書が必要となる場合がありますので、購入証明書は必ず保管しておいてください。
★本製品のパッケージなどに記載されている会社名、製品名などは各社の商標または登録商標です。
★本製品のパッケージに使用されているイラストおよび画像はイメージです。
★iPhone は、米国および他の国々で登録されたApple Inc. の商標です。iPhoneの商標は、アイホン株式会社のライセンスに基づき使用されています。",株式会社トレミール,"TEL: 03-5114-1357
FAX: 03-5114-1375
e-mail:info@l-mobiledo.net
（平日10：00～17：00）
※祝祭日、夏期、年末年始特定休業日を除く",iPhone 13 mini[https://network.mobile.rakuten.co.jp/product/iphone/iphone-13-mini/?l-id=product_accessory_rselect-rmapphne21f0164cl_iphone-13-mini],,,,45254 
2021/9/17,,フィルム,,600159,"iPhone 13
iPhone 13 Pro",iPhone 13 / 13 Pro 平面ガラスフィルム 高光沢,,,クリア,#E8FEFF,1100 ,,,45 ,22 ,rselect-rmapphne21f0167cl,,,,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=600159,※my 楽天モバイルからのご購入は、製品と同時購入の場合のみ送料無料となります。,,,https://item.rakuten.co.jp/rakutenmobile-store/rselect-rmapphne21f0167cl/,※送料無料,,,,,4 ,TRUE,2 ,"平面ガラス
液晶パネルの平面部のみを覆う形状の保護ガラスです。
ケースと干渉することを防ぎます。
※R SELECTの商品以外は保証いたしかねます。","高光沢
高い透明感で液晶の色彩を忠実に再現します。
クリアで歪みの少ない高品質ガラスを採用しています。",,,,FALSE,,,,,,,,,　,　,,,,,,,,,,,,,,,6 ,製品名,iPhone 13 / 13 Pro 平面ガラスフィルム 高光沢,色,クリア,素材,ガラス,セット内容,保護ガラス / クリーナークロス / ホコリ取りシール / 貼り付けガイド / 貼り付けツール,型番,RMAPPHNE21F0167CL,JANコード,4580692435084 ,,,,,,,,,"★本製品はガラス製品のため、折り曲げたり、落下させたりなどの外部からの衝撃により本製品に割れや傷が生じる場合がありますが、本製品の特性上、保証いたしかねますのでご了承ください。
★本製品は機器本体を完全に保護するものではありません。液晶画面を含む機器本体の破損や損傷等については一切の責任を負いかねますのでご了承願います。
★本製品のパッケージなどに記載されている会社名・製品名などは各社の商標または登録商標です。
★万が一、製造上の原因により初期不良品があった場合は同製品または同等の製品と交換をいたします。ご対応の際に購入証明書等が必要となる場合がありますので、購入証明書は必ず保管しておいてください。","株式会社ラスタバナナ
〒460-0001 名古屋市中区三の丸1-13-1","【専用サポートセンター】TEL: 03-6627-3921 （10～18時/土日祝・夏季休暇・年末年始を除く）
 e-mail:support@rastabanana.com",iPhone 13[https://network.mobile.rakuten.co.jp/product/iphone/iphone-13/?l-id=product_accessory_rselect-rmapphne21f0167cl_iphone-13]/iPhone 13 Pro[https://network.mobile.rakuten.co.jp/product/iphone/iphone-13-pro/?l-id=product_accessory_rselect-rmapphne21f0167cl_iphone-13-pro],,,,
2021/9/17,,フィルム,,600161,"iPhone 13
iPhone 13 Pro",iPhone 13 / 13 Pro 全面ガラスフィルム 高光沢,,,クリア,#E8FEFF,1500 ,,,62 ,31 ,rselect-rmapphne21f0169cl,,,,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=600161,※my 楽天モバイルからのご購入は、製品と同時購入の場合のみ送料無料となります。,,,https://item.rakuten.co.jp/rakutenmobile-store/rselect-rmapphne21f0169cl/,※送料無料,,,,,4 ,TRUE,2 ,"全面ガラス
液晶パネル全てを覆う形状の保護ガラスです。
素材はすべてガラスを使用しており、指滑りが滑らかです。
※R SELECTの商品以外は保証いたしかねます。","高光沢
高い透明感で液晶の色彩を忠実に再現します。
クリアで歪みの少ない高品質ガラスを採用しています。",,,,FALSE,,,,,,,,,　,　,,,,,,,,,,,,,,,6 ,製品名,iPhone 13 / 13 Pro 全面ガラスフィルム 高光沢,色,クリア,素材,ガラス,セット内容,保護ガラス / クリーナークロス / ホコリ取りシール / 貼り付けガイド / 貼り付けツール,型番,RMAPPHNE21F0169CL,JANコード,4580692435107 ,,,,,,,,,"★本製品はガラス製品のため、折り曲げたり、落下させたりなどの外部からの衝撃により本製品に割れや傷が生じる場合がありますが、本製品の特性上、保証いたしかねますのでご了承ください。
★本製品は機器本体を完全に保護するものではありません。液晶画面を含む機器本体の破損や損傷等については一切の責任を負いかねますのでご了承願います。
★本製品のパッケージなどに記載されている会社名・製品名などは各社の商標または登録商標です。
★万が一、製造上の原因により初期不良品があった場合は同製品または同等の製品と交換をいたします。ご対応の際に購入証明書等が必要となる場合がありますので、購入証明書は必ず保管しておいてください。","株式会社ラスタバナナ
〒460-0001 名古屋市中区三の丸1-13-1","【専用サポートセンター】TEL: 03-6627-3921 （10～18時/土日祝・夏季休暇・年末年始を除く）
 e-mail:support@rastabanana.com",iPhone 13[https://network.mobile.rakuten.co.jp/product/iphone/iphone-13/?l-id=product_accessory_rselect-rmapphne21f0169cl_iphone-13]/iPhone 13 Pro[https://network.mobile.rakuten.co.jp/product/iphone/iphone-13-pro/?l-id=product_accessory_rselect-rmapphne21f0169cl_iphone-13-pro],,,,
,,フィルム,,600160,"iPhone 13
iPhone 13 Pro",iPhone 13 / 13 Pro 平面ガラスフィルム 高光沢 ブルーライトカット,,,クリア,#E8FEFF,1200 ,,,50 ,25 ,rselect-rmapphne21f0168cl,,,,,https://onboarding.mobile.rakuten.co.jp/accessories-details?exid=600160,※my 楽天モバイルからのご購入は、製品と同時購入の場合のみ送料無料となります。,,,https://item.rakuten.co.jp/rakutenmobile-store/rselect-rmapphne21f0168cl/,※送料無料,,,,,4 ,TRUE,2 ,"平面ガラス
液晶パネルの平面部のみを覆う形状の保護ガラスです。
ケースと干渉することを防ぎます。
※R SELECTの商品以外は保証いたしかねます。","高光沢ブルーライトカット
クリアで歪みの少ない高品質ガラスを採用しています。
眼精疲労やドライアイを引き起こす要因のひとつとされるブルーライトを軽減します。",,,,FALSE,,,,,,,,,　,　,,,,,,,,,,,,,,,6 ,製品名,iPhone 13 / 13 Pro 平面ガラスフィルム 高光沢 ブルーライトカット,色,クリア,素材,ガラス,セット内容,保護ガラス / クリーナークロス / ホコリ取りシール / 貼り付けガイド / 貼り付けツール,型番,RMAPPHNE21F0168CL,JANコード,4580692435091 ,,,,,,,,,"★本製品はガラス製品のため、折り曲げたり、落下させたりなどの外部からの衝撃により本製品に割れや傷が生じる場合がありますが、本製品の特性上、保証いたしかねますのでご了承ください。
★本製品は機器本体を完全に保護するものではありません。液晶画面を含む機器本体の破損や損傷等については一切の責任を負いかねますのでご了承願います。
★本製品のパッケージなどに記載されている会社名・製品名などは各社の商標または登録商標です。
★万が一、製造上の原因により初期不良品があった場合は同製品または同等の製品と交換をいたします。ご対応の際に購入証明書等が必要となる場合がありますので、購入証明書は必ず保管しておいてください。","株式会社ラスタバナナ
〒460-0001 名古屋市中区三の丸1-13-1","【専用サポートセンター】TEL: 03-6627-3921 （10～18時/土日祝・夏季休暇・年末年始を除く）
 e-mail:support@rastabanana.com",iPhone 13[https://network.mobile.rakuten.co.jp/product/iphone/iphone-13/?l-id=product_accessory_rselect-rmapphne21f0168cl_iphone-13]/iPhone 13 Pro[https://network.mobile.rakuten.co.jp/product/iphone/iphone-13-pro/?l-id=product_accessory_rselect-rmapphne21f0168cl_iphone-13-pro],,,,
