supportId,inquiryCode,errorCode,URL,PageTitle,form_link,form_inquiry,chat_pre-member,chat_member,tel_01,tel_03,tel_04,tel_06,tel_07,tel_08,tel_13,tel_12,tel_14,tel_11,Que
60000202,＊60202,,https://network.mobile.rakuten.co.jp/guide/cancellation/apple-watch-family-sharing/,Apple Watch ファミリー共有 解約方法  | 解約・MNP転出 | お客様サポート | 楽天モバイル,×,×,×,○,×,×,×,◎,×,×,×,×,×,○,Que_071_MNO契約情報
60000203,＊60203,,https://network.mobile.rakuten.co.jp/guide/contractor-name-change/,契約者情報の変更手続き（改姓・改名） | 契約内容の確認・変更 | お客様サポート | 楽天モバイル,×,×,×,○,×,×,×,◎,×,×,×,×,×,○,Que_071_MNO契約情報
60000204,＊60204,,https://network.mobile.rakuten.co.jp/guide/flow/application/apple-watch-family-sharing/,Apple Watch ファミリー共有 お申し込み方法 | お申し込み方法 | お客様サポート | 楽天モバイル,×,×,○,○,○,×,×,◎,×,×,×,×,×,○,Que_071_MNO契約情報
60000205,＊60205,,https://network.mobile.rakuten.co.jp/guide/replacement-program/,楽天モバイル買い替え超トクプログラム各種お手続き方法 | お申し込み方法 | お客様サポート | 楽天モバイル,×,×,○,○,○,×,×,◎,×,×,×,×,×,○,Que_071_MNO契約情報
60000206,＊60206,,https://network.mobile.rakuten.co.jp/guide/replacement-program/loss/,楽天モバイル買い替え超トクプログラム（盗難・紛失の場合の解約の流れ） | 楽天モバイル買い替え超トクプログラム各種お手続き方法 | お客様サポート | 楽天モバイル,×,×,×,○,×,×,×,◎,○,×,×,×,×,○,Que_071_MNO契約情報
60000207,＊60207,,https://network.mobile.rakuten.co.jp/guide/replacement-program/pay-off/,楽天モバイル買い替え超トクプログラム（買い取りによる解約の流れ） | 楽天モバイル買い替え超トクプログラム各種お手続き方法 | お客様サポート | 楽天モバイル,×,×,×,○,×,×,×,◎,×,×,×,×,×,○,Que_071_MNO契約情報
60000208,＊60208,,https://network.mobile.rakuten.co.jp/guide/setting/apple-watch-family-sharing/,Apple Watch ファミリー共有 ペアリング・初期設定方法 | 初期設定（iPhone・Apple Watch） | お客様サポート | 楽天モバイル,×,×,×,○,×,×,◎,○,×,×,×,×,×,○,Que_071_MNO契約情報
60000209,＊60209,,https://network.mobile.rakuten.co.jp/guide/setting/xperia-5m5/,Xperia 5 V | 各種製品の初期設定 | お客様サポート | 楽天モバイル,×,×,×,○,×,×,◎,○,×,×,×,×,×,○,Que_061_MNO申込後
10000883,＊10883,,https://network.mobile.rakuten.co.jp/faq/detail/10000883/,iPhoneをRakuten最強プランで利用している場合、電話番号シェアサービスとApple Watch ファミリー共有は併用できますか？,×,×,○,○,○,×,×,◎,×,×,×,×,×,○,Que_071_MNO契約情報
10000884,＊10884,,https://network.mobile.rakuten.co.jp/faq/detail/10000884/,Apple Watch ファミリー共有を申し込む際に本人確認は必要ですか？,×,×,○,○,○,×,×,◎,×,×,×,×,×,○,Que_071_MNO契約情報
